Item Name,Description,Mfg Part #,Category,Rate,Item Type
BNI Heat Pump Tune Up,PERFORM HEATING TUNE-UP FOR 1) HEAT PUMP SYSTEM INCLUDING -1) MONITOR REFRIGERANT LEVELS -2) PERFORM INSPECTION OF COIL ON OUTDOOR UNIT AS NEEDED -3),,Maintenance,99.00000,Non Inventory
BNI Members,"Members of BNI groups: Referral Powerhouse, Best Business Builders",,,17.00000,Discount
Bonus,,,,480.29000,Non Inventory
Capillary Tube Assembly,REPLACE CAPILLARY TUBE ASSEMBLY COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE ASSEMBLY -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER O,,Service:Service Repairs:Valves,1175.55000,Non Inventory
Carrier 5-1-1 Thermostat,INSTALL NEW CARRIER 5-1-1 PROGRAMMABLE COMFORT CONTROL COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF EXISTING THERMOSTAT -2) RUN TEST SYSTEM UPON COMPL,,Service:Service Repairs:Refrigeration Equipment / Coolers / Freezers / Milk Coolers:Thermostat,249.00000,Non Inventory
Carrier Comfort Series,INSTALL () TON () SEER PERFORMANCE CARRIER 1 SPEED - SYSTEM COMPLETE INCLUDING,,Sales:Carrier - Turn to the experts,0.00000,Non Inventory
Carrier Infinity Series,INSTALL () TON () SEER INFINITY CARRIER 5 SPEED - SYSTEM COMPLETE INCLUDING,,Sales:Carrier - Turn to the experts,0.00000,Non Inventory
Carrier Performance Series,INSTALL () TON () SEER PERFORMANCE CARRIER 2 SPEED - SYSTEM COMPLETE INCLUDING,,Sales:Carrier - Turn to the experts,0.00000,Non Inventory
Change-Out Install...,This type of installation occurs when the client has an existing central HVAC system and we are replacing only the equipment.,,,0.00000,Non Inventory
Clean Condensate Drain Line,CLEAR BLOCKED CONDENSATE DRAIN COMPLETE INCLUDING,,,207.80000,Non Inventory
Clean Gas Furnace,CLEAN GAS FURNACE BURNER ASSEMBLY COMPLETE INCLUDING -1) REMOVAL OF ALL RUST & DEBRIS IN BURNERS AND EXCHANGER AREA THAT CAN BE ACCESSED -2) INSPECT B,,Service:Service Repairs:Gas Furnace Repairs:Precision Cleanings,289.89000,Non Inventory
Clean Pilot Assembly,PERFORM PILOT ASSEMBLY CLEANING COMPLETE INCLUDING RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & RECORD ALL SYSTEM DATA,,Service:Service Repairs:Gas Furnace Repairs,176.16000,Non Inventory
Close Proposal,To proceed with this proposal simply circle the option that you choose to go with and sign and date below. Snap a photo of the signed quote and send t,,Sales:Installation Includes,0.00000,Non Inventory
Closet Door,,,Sales,0.00000,Inventory
College Students,"Eligibility: College/University Students, Trade School\CRVerification: Student ID, .edu email",,,8.00000,Discount
Commercial 10 Unit Maintenance,Giesbrecht Maintenance Program 10 Units & Ice Machine\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6,,Maintenance:Maintenance Program,2300.00000,Non Inventory
Commercial Heater,"Quote Description \CRINSTALL 2) 150,000 BTU 60 FOOT LENGTH RADIANT TUBE HEATERS COMPLETE \CRInstallation Includes \CR- REMOVAL OF ONE FUNCTIONING AND NON-FU",,Sales,0.00000,Inventory
Commercial Maint. - 4 Systems,Giesbrecht Maintenance Program 4 Units\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOW,,,1136.00000,Non Inventory
Commercial Maintenance,,,,0.00000,Inventory
Commercial Maintenance - 1 Unit,Giesbrecht Maintenance Program 1 Unit\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOWE,,Maintenance:Maintenance Program,299.00000,Non Inventory
Commercial Maintenance - 2 Units,Giesbrecht Maintenance Program 2 Units\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOW,,Maintenance:Maintenance Program,588.00000,Non Inventory
Commercial Maintenance 9 Units,Giesbrecht Maintenance Program 9 Units\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOW,,,3357.00000,Non Inventory
Commerical Maintenance - 3 Units,Giesbrecht Maintenance Program 3 Units\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOW,,Maintenance:Maintenance Program,867.00000,Non Inventory
Complete Furnace B-Vent,**Complete Furnace B-Vent Installation / Conversion — Includes Roof Termination**\CR\CRInstall or convert furnace venting to properly rated double-wall Ty,,Service:Service Repairs:Gas Combustion,1550.00000,Non Inventory
Compressor,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of,,Service:Service Repairs:Compressor,3333.33000,Non Inventory
Compressor - 1100,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,5434.49000,Non Inventory
